20 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 - 89 years,year
8.700000000000001,42.52916666666667,111.03793103448281,190.9562724014336,257.7863281249998,303.3609053497949,321.9499999999997,1999
9.957142857142856,42.79774436090225,108.20153846153843,186.4571942446043,256.90311284046703,300.63865546218483,305.84944444444415,2000
9.383333333333336,42.38857142857142,105.41920289855072,186.7938144329896,256.9011194029852,291.4228915662653,311.2913513513513,2001
10.00909090909091,42.57445255474453,108.13678571428566,186.73796610169475,256.1341818181815,286.8358565737053,310.30634920634907,2002
9.535714285714283,43.878676470588225,108.71672473867598,174.60225806451626,239.18175438596498,279.6865612648219,287.727918781726,2003
9.141176470588237,43.653191489361674,108.80238907849831,171.5211726384364,237.63564013840843,267.425581395349,290.35388601036243,2004
9.454545454545457,44.37226277372261,104.81701388888894,168.57142857142844,232.81168384879726,278.0869402985075,289.71299999999997,2005
9.864285714285714,43.99202898550725,110.44320557491295,165.1704402515724,239.4816053511704,275.8287878787881,291.3390862944164,2006
9.825,42.058571428571405,110.42382550335572,167.4774294670847,243.4099358974361,274.54051094890514,285.4752380952381,2007
9.6375,44.696621621621645,112.68474576271193,164.76747720364742,244.35683229813645,291.29594095940945,297.65550239234443,2008
11.747058823529413,44.54468085106382,112.83432343234315,165.16952662721883,249.6215625,285.73333333333335,293.15588235294103,2009
10.370588235294116,43.77985611510789,109.95280528052812,160.44444444444426,240.2664615384616,287.75359712230215,278.0951219512195,2010
10.023529411764708,43.87518248175182,114.66883116883119,162.65647058823524,245.51815476190487,294.7570422535214,283.5669950738917,2011
10.178947368421053,43.453237410071964,114.79869706840392,164.35735294117652,247.5244117647057,288.8160958904108,284.72350000000006,2012
10.052631578947368,45.38928571428572,111.65628930817616,163.43943661971838,242.9201704545453,297.5378839590445,284.85024154589365,2013
11.122727272727273,44.96474820143886,113.11118012422364,163.1680672268908,239.48212290502806,292.2445578231291,273.31932367149744,2014
10.20952380952381,43.66241134751775,112.07523809523808,161.62457627118653,232.7351498637601,285.93672131147554,265.6869565217391,2015
